Price,Close,High,Low,Open,Volume,SMA_20,EMA_20,MACD,MACD_Signal,RSI,%K,%D,Upper Band,Lower Band,H-L,H-PC,L-PC,TR,ATR,OBV,Lag_1,Lag_2,Lag_3,Lag_4,Lag_5,Short_MA,Long_MA,MA_Crossover
2014-10-01,7945.5498046875,7977.5,7936.7001953125,7960.5,113000,8044.8875,7996.820426133129,11.078520529883463,7985.694243460801,40.43145590364916,32.51330875860919,35.918728969560085,8209.397462760822,7880.377537239177,40.7998046875,12.7001953125,28.099609375,40.7998046875,97.82132393973214,5417000,7964.7998046875,7958.89990234375,7968.85009765625,7911.85009765625,8002.39990234375,7949.98994140625,8044.8875,0
2014-10-07,7852.39990234375,7943.0498046875,7842.7001953125,7897.39990234375,148200,8032.709985351563,7983.066090534141,-1.1342746442651332,7959.035375237391,34.293149454599885,3.321872269581357,24.793693201554053,8216.259775765404,7849.160194937722,100.349609375,2.5,102.849609375,102.849609375,102.11774553571429,5268800,7945.5498046875,7964.7998046875,7958.89990234375,7968.85009765625,7911.85009765625,7938.09990234375,8032.709985351563,0
2014-10-08,7842.7001953125,7869.89990234375,7815.75,7828.75,135900,8020.502490234375,7969.697910036842,-11.463543508051771,7935.768339252413,36.746910493606684,7.808258130595997,14.54781305292885,8220.619354104194,7820.385626364557,54.14990234375,17.5,36.64990234375,54.14990234375,100.59273856026786,5132900,7852.39990234375,7945.5498046875,7964.7998046875,7958.89990234375,7968.85009765625,7912.869921875,8020.502490234375,0
2014-10-09,7960.5498046875,7972.35009765625,7886.5,7886.5,123800,8009.834985351563,7968.826661908332,-10.024528411211577,7940.72463233943,51.817520633145655,41.95272943849409,17.694286612890483,8197.905381733855,7821.764588969269,85.85009765625,129.64990234375,43.7998046875,129.64990234375,101.29987444196429,5256700,7842.7001953125,7852.39990234375,7945.5498046875,7964.7998046875,7958.89990234375,7913.19990234375,8009.834985351563,0
2014-10-10,7859.9501953125,7924.0498046875,7848.4501953125,7911.0,142900,7995.184985351562,7958.457474613491,-16.807895354869288,7924.569744934044,42.94264794297003,12.806086576399803,20.855691381829967,8181.958582291537,7808.411388411588,75.599609375,36.5,112.099609375,112.099609375,105.18198939732143,5113800,7960.5498046875,7842.7001953125,7852.39990234375,7945.5498046875,7964.7998046875,7892.22998046875,7995.184985351562,0
2014-10-13,7884.25,7901.14990234375,7796.0,7831.0,118800,7984.69248046875,7951.390096078873,-19.992510160670463,7916.505795947236,33.62224131159735,24.184714611643017,26.314510208845636,8171.646630096485,7797.738330841014,105.14990234375,41.19970703125,63.9501953125,105.14990234375,99.75341796875,5232600,7859.9501953125,7960.5498046875,7842.7001953125,7852.39990234375,7945.5498046875,7879.97001953125,7984.69248046875,0
2014-10-14,7864.0,7928.0,7825.4501953125,7923.25,225500,7973.607470703125,7943.067229785647,-23.875128482473883,7906.00463675779,32.05291764584145,18.686457336766555,18.559086174936457,8161.632034805548,7785.582906600702,102.5498046875,43.75,58.7998046875,102.5498046875,103.11056082589286,5007100,7884.25,7859.9501953125,7960.5498046875,7842.7001953125,7852.39990234375,7882.2900390625,7973.607470703125,0
2014-10-16,7748.2001953125,7893.89990234375,7729.64990234375,7837.2998046875,213500,7955.74248046875,7924.508464597729,-35.88257593494109,7874.443748468732,25.37116584802952,4.313017613768597,15.72806318739272,8158.334898545962,7753.150062391538,164.25,29.89990234375,134.35009765625,164.25,108.04983956473214,4793600,7864.0,7884.25,7859.9501953125,7960.5498046875,7842.7001953125,7863.3900390625,7955.74248046875,0
2014-10-17,7779.7001953125,7819.2001953125,7723.85009765625,7733.75,177600,7942.627490234375,7910.717200856278,-42.36838147821436,7855.495037837487,33.272368137294634,17.551901030117868,13.51712532688434,8155.412523570671,7729.842456898079,95.35009765625,71.0,24.35009765625,95.35009765625,104.02842494419643,4971200,7748.2001953125,7864.0,7884.25,7859.9501953125,7960.5498046875,7827.2201171875,7942.627490234375,0
2014-10-20,7879.39990234375,7905.9501953125,7856.9501953125,7896.9501953125,176200,7939.952490234375,7907.734600997942,-39.013769516996035,7860.27601073874,42.26899421795013,50.659470324630504,24.17479632283899,8154.589502719692,7725.315477749057,49.0,126.25,77.25,126.25,106.474853515625,5147400,7779.7001953125,7748.2001953125,7864.0,7884.25,7859.9501953125,7831.11005859375,7939.952490234375,0
2014-10-21,7927.75,7936.60009765625,7874.35009765625,7906.14990234375,163400,7937.564990234375,7909.640829474328,-32.08392307318445,7873.770808590993,51.05535227563677,66.40613321714018,44.87250152396285,8151.598556737801,7723.5314237309485,62.25,57.2001953125,5.0498046875,62.25,100.78201729910714,5310800,7879.39990234375,7779.7001953125,7748.2001953125,7864.0,7884.25,7839.81005859375,7937.564990234375,0
