Date,Open,High,Low,Close,Adj Close,Volume,SMA_20,EMA_20,SMA_50,EMA_50,SMA_100,EMA_100,SMA_150,EMA_150,SMA_200,EMA_200,RSI,MACD
2010-03-11,5116.35009765625,5152.60009765625,5102.10009765625,5133.39990234375,5133.39990234375,0,4950.235009765625,5006.932778053998,,5027.6975601792265,,5091.321199135019,,5127.152836557244,,5148.7995058472,79.59996093276553,42.02633550094197
2010-03-12,5131.7998046875,5158.10009765625,5122.10009765625,5137.0,5137.0,0,4969.225,5019.320132525046,,5031.983930368277,,5092.225729845217,,5127.283262563109,,5148.68209782882,88.87414498728285,46.44623905294702
2010-03-15,5134.4501953125,5151.0498046875,5101.2001953125,5128.89990234375,5128.89990234375,0,4984.327490234375,5029.756301079208,,5035.784556720256,,5092.951951082811,,5127.304675010535,,5148.485260062799,86.59684971211982,48.73366294529569
2010-03-16,5128.9501953125,5209.25,5125.7001953125,5198.10009765625,5198.10009765625,0,5004.134985351562,5045.789043610355,,5042.149872051079,,5095.034092599117,,5128.242362727697,,5148.978940038854,88.33705949417795,55.490678293912424
2010-03-17,5198.4501953125,5260.5,5177.14990234375,5231.89990234375,5231.89990234375,0,5022.94248046875,5063.51388729925,5028.951005859375,5049.591049709616,,5097.744306653466,,5129.61531027228,,5149.804024240892,91.459311721131,62.84854450173043
2010-03-18,5232.5498046875,5255.64990234375,5214.39990234375,5245.89990234375,5245.89990234375,0,5039.5374755859375,5080.883983970155,5029.225,5057.289436087424,,5100.678080825551,,5131.15550354475,,5150.760202132464,91.69632415822812,69.01384088105533
2010-03-19,5246.7998046875,5269.9501953125,5237.10009765625,5262.7998046875,5262.7998046875,0,5058.289965820312,5098.209300228949,5028.922998046875,5065.348666228604,,5103.888411991134,,5132.899136672469,,5151.875024048434,90.7881745738364,74.40585913295035
2010-03-22,5260.9501953125,5260.9501953125,5187.0498046875,5205.2001953125,5205.2001953125,0,5076.30498046875,5108.398909284526,5027.391005859375,5070.83303991817,,5105.8945859182895,,5133.856766588231,,5152.40562276748,74.74366184162885,73.18760420485796
2010-03-23,5205.85009765625,5243.60009765625,5193.39990234375,5225.2998046875,5225.2998046875,0,5094.749975585937,5119.532327894332,5026.635,5076.890560105202,,5108.259045695898,,5135.067932655771,,5153.130938010466,70.83206678479549,73.00247184148066
2010-03-25,5225.2998046875,5267.2998046875,5202.9501953125,5260.39990234375,5260.39990234375,0,5114.26748046875,5132.948287365705,5026.947998046875,5084.087004898871,,5111.271735926549,,5136.727958744354,,5154.198290889404,75.26297121524814,74.82549590723829
