Date,Close,High,Low,Open,Volume,SMA_20,EMA_20,EMA_12,EMA_26,MACD,Signal_Line
2022-11-01,18145.400390625,18175.80078125,18060.150390625,18130.69921875,349900,17443.8,17582.106120166183,17696.67633185026,17537.597584053292,159.07874779696795,68.37222066695863
2022-11-02,18082.849609375,18178.75,18048.650390625,18177.900390625,270900,17503.575,17629.795976281308,17756.087605315603,17577.98662296601,178.1009823495915,90.3179730034852
2022-11-03,18052.69921875,18106.30078125,17959.19921875,17968.349609375,213000,17542.494921875,17670.07247556404,17801.720161228586,17613.15051895001,188.5696422785768,109.96830685850352
2022-11-04,18117.150390625,18135.099609375,18017.150390625,18053.400390625,267900,17581.76240234375,17712.651324617465,17850.247888828035,17650.483842777787,199.764046050248,127.92745469685244
2022-11-07,18202.80078125,18255.5,18064.75,18211.75,314800,17626.169921875,17759.332225249134,17904.486795354493,17691.396208590544,213.09058676394852,144.96008111027166
2022-11-09,18157.0,18296.400390625,18117.5,18288.25,307200,17671.969921875,17797.205346653976,17943.334980684573,17725.885378324576,217.4496023599968,159.4579853602167
2022-11-10,18028.19921875,18103.099609375,17969.400390625,18044.349609375,256500,17724.20234375,17819.204763044076,17956.391017310023,17748.278996133864,208.11202117615903,169.18879252340517
2022-11-11,18349.69921875,18362.30078125,18259.349609375,18272.349609375,378500,17785.50732421875,17869.72804453988,18016.899971377712,17792.82864225358,224.07132912413363,180.16529984355086
2022-11-14,18329.150390625,18399.44921875,18311.400390625,18376.400390625,301400,17851.24736328125,17913.482553690843,18064.93849741576,17832.55617916998,232.38231824577815,190.60870352399633
2022-11-15,18403.400390625,18427.94921875,18282.0,18362.75,250900,17912.132421875,17960.14139530362,18117.00955790949,17874.840935574055,242.1686223354336,200.9206872862838
2022-11-16,18409.650390625,18442.150390625,18344.150390625,18398.25,219300,17967.02490234375,18002.95177581042,18162.031224481107,17914.456450763013,247.57477371809364,210.25150457264579
2022-11-17,18343.900390625,18417.599609375,18312.94921875,18358.69921875,200500,18009.8724609375,18035.423072459427,18190.01109619555,17946.267112975012,243.7439832205382,216.95000030222428
2022-11-18,18307.650390625,18394.599609375,18209.80078125,18382.94921875,198800,18049.64248046875,18061.34948371329,18208.109449184696,17973.03624465279,235.0732045319055,220.57464114816054
2022-11-21,18159.94921875,18262.30078125,18133.349609375,18246.400390625,213800,18079.44248046875,18070.739934669167,18200.700182963974,17986.881650141473,213.81853282250086,219.22341948302864
2022-11-22,18244.19921875,18261.849609375,18137.69921875,18179.150390625,177700,18112.83740234375,18087.259866486387,18207.39234231567,18005.94221077914,201.45013153653053,215.66876189372903
2022-11-23,18267.25,18325.400390625,18246.0,18325.19921875,178800,18139.66240234375,18104.401783963873,18216.601212728645,18025.298343314018,191.3028694146269,210.79558339790862
2022-11-24,18484.099609375,18529.69921875,18294.25,18326.099609375,204000,18181.04990234375,18140.563481622074,18257.754812212697,18059.2836222815,198.47118993119875,208.33070470456667
2022-11-25,18512.75,18534.900390625,18445.099609375,18528.44921875,205900,18219.83994140625,18176.009816705686,18296.98484110305,18092.87372433472,204.11111676833025,207.4867871173194
2022-11-28,18562.75,18614.25,18365.599609375,18430.55078125,206500,18258.63740234375,18212.842215114666,18337.87178862566,18127.679374384,210.19241424166103,208.02791254218772
2022-11-29,18618.05078125,18678.099609375,18552.150390625,18552.44921875,195300,18288.92998046875,18251.433507127556,18380.976249029405,18164.0031823,216.97306672940613,209.81694337963143
2022-11-30,18758.349609375,18816.05078125,18616.55078125,18625.69921875,345600,18319.57744140625,18299.711231151123,18439.033689082575,18208.028843564814,231.00484551776026,214.05452380725723
2022-12-01,18812.5,18887.599609375,18778.19921875,18871.94921875,325000,18356.0599609375,18348.548256755777,18496.490044608334,18252.804484782235,243.68555982609905,219.9807310110256
2022-12-02,18696.099609375,18781.94921875,18639.19921875,18752.400390625,254400,18388.22998046875,18381.648385576656,18527.19920841859,18285.641160677995,241.55804774059652,224.2961943569398
2022-12-05,18701.05078125,18728.599609375,18591.349609375,18719.55078125,288400,18417.425,18412.067661355068,18553.94560423881,18316.412243683328,237.5333605554806,226.94362759664796
2022-12-06,18642.75,18654.900390625,18577.900390625,18600.650390625,217800,18439.4224609375,18434.03740789268,18567.6078189713,18340.585410817897,227.02240815340338,226.95938370799905
2022-12-07,18560.5,18668.30078125,18528.400390625,18638.849609375,200500,18459.5974609375,18446.081464283856,18566.514308360333,18356.87538038694,209.63892797339213,223.4952925610777
2022-12-08,18609.349609375,18625.0,18536.94921875,18570.849609375,202800,18488.65498046875,18461.630811435396,18573.104354670282,18375.577175126797,197.52717954348554,218.30166995755928
2022-12-09,18496.599609375,18664.69921875,18410.099609375,18662.400390625,215800,18496.0,18464.961173143933,18561.334393855625,18384.541799885923,176.79259396970156,209.99985475998776
2022-12-12,18497.150390625,18521.55078125,18345.69921875,18402.150390625,193900,18504.4,18468.026812904034,18551.459931820144,18392.883176977706,158.57675484243737,199.7152347764777
2022-12-13,18608.0,18617.25,18490.19921875,18524.400390625,187600,18514.62998046875,18481.35759262746,18560.158403847814,18408.817756460838,151.34064738697634,190.04031729857743
2022-12-14,18660.30078125,18696.099609375,18632.900390625,18671.25,208000,18527.1625,18498.399801067702,18575.56492344815,18427.44612866744,148.1187947807084,181.65601279500362
2022-12-15,18414.900390625,18652.900390625,18387.69921875,18614.400390625,183100,18530.7125,18490.447476263635,18550.84730301382,18426.51681473837,124.33048827544917,170.19090789109273
2022-12-16,18269.0,18440.94921875,18255.150390625,18319.099609375,277700,18528.77998046875,18469.357240429003,18507.48617947323,18414.848902535527,92.63727693770488,154.68018170041518
2022-12-19,18420.44921875,18431.650390625,18244.55078125,18288.099609375,154800,18541.80498046875,18464.69933360243,18494.095877823504,18415.263740773637,78.83213704986701,139.51057277030554
2022-12-20,18385.30078125,18404.900390625,18202.650390625,18340.30078125,169000,18548.86005859375,18457.137566711725,18477.35817065835,18413.044262290405,64.31390836794526,124.4712398898335
