Date,Open,High,Low,Close
11/9/2018,"10,614.70","10,619.55","10,544.85","10,614.70"
11/7/2018,"10,614.45","10,616.45","10,582.30","10,614.45"
11/6/2018,"10,552.00","10,600.25","10,491.45","10,552.00"
11/5/2018,"10,558.75","10,558.80","10,477.00","10,558.75"
11/2/2018,"10,462.30","10,606.95","10,457.70","10,462.30"
11/1/2018,"10,441.70","10,441.90","10,341.90","10,441.70"
10/31/2018,"10,209.55","10,396.00","10,105.10","10,209.55"
10/30/2018,"10,239.40","10,285.10","10,175.35","10,239.40"
10/29/2018,"10,078.10","10,275.30","10,020.35","10,078.10"
10/26/2018,"10,122.35","10,128.85","10,004.55","10,122.35"
10/25/2018,"10,135.05","10,166.60","10,079.30","10,135.05"
10/24/2018,"10,278.15","10,290.65","10,126.70","10,278.15"
10/23/2018,"10,152.60","10,222.10","10,102.35","10,152.60"
10/22/2018,"10,405.85","10,408.55","10,224.00","10,405.85"
10/19/2018,"10,339.70","10,380.10","10,249.60","10,339.70"
10/17/2018,"10,688.70","10,710.15","10,436.45","10,688.70"
10/16/2018,"10,550.15","10,604.90","10,525.30","10,550.15"
10/15/2018,"10,524.20","10,526.30","10,410.15","10,524.20"
10/12/2018,"10,331.55","10,492.45","10,322.15","10,331.55"
10/11/2018,"10,169.80","10,335.95","10,138.60","10,169.80"
10/10/2018,"10,331.85","10,482.35","10,318.25","10,331.85"
10/9/2018,"10,390.30","10,397.60","10,279.35","10,390.30"
10/8/2018,"10,310.15","10,398.35","10,198.40","10,310.15"
10/5/2018,"10,514.10","10,540.65","10,261.90","10,514.10"
10/4/2018,"10,754.70","10,754.70","10,547.25","10,754.70"
10/3/2018,"10,982.70","10,989.05","10,843.75","10,982.70"
10/1/2018,"10,930.90","11,035.65","10,821.55","10,930.90"
9/28/2018,"11,008.10","11,034.10","10,850.30","11,008.10"
9/27/2018,"11,079.80","11,089.45","10,953.35","11,079.80"
9/26/2018,"11,145.55","11,145.55","10,993.05","11,145.55"
9/25/2018,"10,969.95","11,080.60","10,882.85","10,969.95"
9/24/2018,"11,164.40","11,170.15","10,943.60","11,164.40"
9/21/2018,"11,271.30","11,346.80","10,866.45","11,271.30"
9/19/2018,"11,326.65","11,332.05","11,210.90","11,326.65"
9/18/2018,"11,381.55","11,411.45","11,268.95","11,381.55"
9/17/2018,"11,464.95","11,464.95","11,366.90","11,464.95"
9/14/2018,"11,443.50","11,523.25","11,430.55","11,443.50"
9/12/2018,"11,340.10","11,380.75","11,250.20","11,340.10"
9/11/2018,"11,476.85","11,479.40","11,274.00","11,476.85"
9/10/2018,"11,570.25","11,573.00","11,427.30","11,570.25"
9/7/2018,"11,558.25","11,603.00","11,484.40","11,558.25"
9/6/2018,"11,514.15","11,562.25","11,436.05","11,514.15"
9/5/2018,"11,514.85","11,542.65","11,393.85","11,514.85"
9/4/2018,"11,598.75","11,602.55","11,496.85","11,598.75"
9/3/2018,"11,751.80","11,751.80","11,567.40","11,751.80"
8/31/2018,"11,675.85","11,727.65","11,640.10","11,675.85"
8/30/2018,"11,694.75","11,698.80","11,639.70","11,694.75"
8/29/2018,"11,744.95","11,753.20","11,678.85","11,744.95"
8/28/2018,"11,731.95","11,760.20","11,710.50","11,731.95"
8/27/2018,"11,605.85","11,700.95","11,595.60","11,605.85"
8/24/2018,"11,566.60","11,604.60","11,532.00","11,566.60"
8/23/2018,"11,620.70","11,620.70","11,546.70","11,620.70"
8/21/2018,"11,576.20","11,581.75","11,539.60","11,576.20"
8/20/2018,"11,502.10","11,565.30","11,499.65","11,502.10"
8/17/2018,"11,437.15","11,486.45","11,431.80","11,437.15"
8/16/2018,"11,397.15","11,449.85","11,366.25","11,397.15"
8/14/2018,"11,381.70","11,452.45","11,370.80","11,381.70"
8/13/2018,"11,369.60","11,406.30","11,340.30","11,369.60"
8/10/2018,"11,474.95","11,478.75","11,419.65","11,474.95"
8/9/2018,"11,493.25","11,495.20","11,454.10","11,493.25"
8/8/2018,"11,412.50","11,459.95","11,379.30","11,412.50"
8/7/2018,"11,423.15","11,428.95","11,359.70","11,423.15"
8/6/2018,"11,401.50","11,427.65","11,370.60","11,401.50"
8/3/2018,"11,297.80","11,368.00","11,294.55","11,297.80"
8/2/2018,"11,328.90","11,328.90","11,234.95","11,328.90"
8/1/2018,"11,359.80","11,390.55","11,313.55","11,359.80"
7/31/2018,"11,311.05","11,366.00","11,267.75","11,311.05"
7/30/2018,"11,296.65","11,328.10","11,261.45","11,296.65"
7/27/2018,"11,232.75","11,283.40","11,210.25","11,232.75"
7/26/2018,"11,132.95","11,185.85","11,125.70","11,132.95"
7/25/2018,"11,148.40","11,157.15","11,113.25","11,148.40"
7/24/2018,"11,109.00","11,143.40","11,092.50","11,109.00"
7/23/2018,"11,019.85","11,093.40","11,010.95","11,019.85"
7/20/2018,"10,963.50","11,030.25","10,946.20","10,963.50"
7/19/2018,"10,999.50","11,006.50","10,935.45","10,999.50"
7/18/2018,"11,060.20","11,076.20","10,956.30","11,060.20"
7/17/2018,"10,939.65","11,018.50","10,925.60","10,939.65"
7/16/2018,"11,018.95","11,019.50","10,926.25","11,018.95"
7/13/2018,"11,056.90","11,071.35","10,999.75","11,056.90"
7/12/2018,"11,006.95","11,078.30","10,999.65","11,006.95"
7/11/2018,"10,956.40","10,976.65","10,923.00","10,956.40"
7/10/2018,"10,902.75","10,956.90","10,876.65","10,902.75"
7/9/2018,"10,838.30","10,860.35","10,807.15","10,838.30"
7/6/2018,"10,744.15","10,816.35","10,735.05","10,744.15"
7/5/2018,"10,786.05","10,786.05","10,726.25","10,786.05"
7/4/2018,"10,715.00","10,777.15","10,677.75","10,715.00"
7/3/2018,"10,668.60","10,713.30","10,630.25","10,668.60"
7/2/2018,"10,732.35","10,736.15","10,604.65","10,732.35"
6/29/2018,"10,612.85","10,723.05","10,612.35","10,612.85"
6/28/2018,"10,660.80","10,674.20","10,557.70","10,660.80"
6/27/2018,"10,785.50","10,785.50","10,652.40","10,785.50"
6/26/2018,"10,742.70","10,805.25","10,732.55","10,742.70"
6/25/2018,"10,822.90","10,831.05","10,753.05","10,822.90"
6/22/2018,"10,742.70","10,837.00","10,710.45","10,742.70"
6/21/2018,"10,808.45","10,809.60","10,725.90","10,808.45"
6/20/2018,"10,734.65","10,781.80","10,724.05","10,734.65"
6/19/2018,"10,789.45","10,789.45","10,701.20","10,789.45"
6/18/2018,"10,830.20","10,830.20","10,787.35","10,830.20"
6/15/2018,"10,808.65","10,834.00","10,755.40","10,808.65"
6/14/2018,"10,832.90","10,833.70","10,773.55","10,832.90"
6/13/2018,"10,887.50","10,893.25","10,842.65","10,887.50"
6/12/2018,"10,816.15","10,856.55","10,789.40","10,816.15"
6/11/2018,"10,781.85","10,850.55","10,777.05","10,781.85"
6/8/2018,"10,736.40","10,779.45","10,709.05","10,736.40"
6/7/2018,"10,722.60","10,818.00","10,722.60","10,722.60"
6/6/2018,"10,603.45","10,698.35","10,587.50","10,603.45"
6/5/2018,"10,630.70","10,633.15","10,550.90","10,630.70"
6/4/2018,"10,765.95","10,770.30","10,618.35","10,765.95"
6/1/2018,"10,738.45","10,764.75","10,681.50","10,738.45"
5/31/2018,"10,670.10","10,763.80","10,620.40","10,670.10"
5/30/2018,"10,579.00","10,648.70","10,558.45","10,579.00"
5/29/2018,"10,689.40","10,717.25","10,616.10","10,689.40"
5/28/2018,"10,648.35","10,709.80","10,640.55","10,648.35"
5/25/2018,"10,533.05","10,628.05","10,524.00","10,533.05"
5/24/2018,"10,464.85","10,535.15","10,419.80","10,464.85"
5/23/2018,"10,521.10","10,533.55","10,417.80","10,521.10"
5/22/2018,"10,518.45","10,558.60","10,490.55","10,518.45"
5/21/2018,"10,616.70","10,621.70","10,505.80","10,616.70"
5/18/2018,"10,671.85","10,674.95","10,589.10","10,671.85"
5/17/2018,"10,775.60","10,777.25","10,664.50","10,775.60"
5/16/2018,"10,751.95","10,790.45","10,699.70","10,751.95"
5/15/2018,"10,812.60","10,929.20","10,781.40","10,812.60"
5/14/2018,"10,815.15","10,834.85","10,774.75","10,815.15"
5/11/2018,"10,741.95","10,812.05","10,724.45","10,741.95"
5/10/2018,"10,779.65","10,785.55","10,705.00","10,779.65"
5/9/2018,"10,693.35","10,766.25","10,689.85","10,693.35"
5/8/2018,"10,757.90","10,758.55","10,689.40","10,757.90"
5/7/2018,"10,653.15","10,725.65","10,635.65","10,653.15"
5/4/2018,"10,700.45","10,700.45","10,601.60","10,700.45"
5/3/2018,"10,720.15","10,720.60","10,647.45","10,720.15"
5/2/2018,"10,783.85","10,784.65","10,689.80","10,783.85"
4/30/2018,"10,705.75","10,759.00","10,704.60","10,705.75"
4/27/2018,"10,651.65","10,719.80","10,647.55","10,651.65"
4/26/2018,"10,586.50","10,628.40","10,559.65","10,586.50"
4/25/2018,"10,612.40","10,612.60","10,536.45","10,612.40"
4/24/2018,"10,578.10","10,636.80","10,569.00","10,578.10"
4/23/2018,"10,592.80","10,638.35","10,514.95","10,592.80"
4/20/2018,"10,560.35","10,582.35","10,527.45","10,560.35"
4/19/2018,"10,563.65","10,572.20","10,546.20","10,563.65"
4/18/2018,"10,578.90","10,594.20","10,509.70","10,578.90"
